Mode,Frequency_(cm-1),Irrep,Intensity
1- 1,-96.2708,B1u,34.0
2- 2,0.0,B1u,0.0
3- 3,0.0,B3u,0.0
4- 4,0.0,B2u,0.0
5- 5,66.8512,B2u,141.19
6- 6,70.9112,B3u,210.11
10- 10,113.7377,B1u,161.85
13- 13,129.5722,B3u,14.0
14- 14,131.2517,B2u,283.52
17- 17,185.6044,B1u,50.42
20- 20,209.5634,B2u,394.09
21- 21,218.2671,B3u,268.83
22- 22,218.367,B1u,297.13
28- 28,318.3639,B3u,70.04
29- 29,326.5515,B1u,91.75
31- 31,349.4527,B2u,69.98
33- 33,434.2792,B3u,131.21
35- 35,489.843,B1u,244.33
36- 36,550.9048,B3u,74.99
