Mode,Frequency_(cm-1),Irrep,I_tot,I_par,I_perp
7- 7,73.7583,Ag,270.23,258.32,11.91
8- 8,76.35,B1g,7.07,4.04,3.03
9- 9,77.856,B2g,7.23,4.13,3.1
11- 11,115.4083,B1g,33.67,19.24,14.43
15- 15,136.0748,B2g,154.87,88.5,66.37
16- 16,148.7729,Ag,410.1,294.07,116.03
18- 18,197.3778,B2g,23.41,13.38,10.03
23- 23,236.2351,Ag,808.06,548.78,259.29
24- 24,263.2917,B2g,21.32,12.18,9.14
25- 25,275.3087,B1g,1.3,0.74,0.56
26- 26,288.6987,B3g,1000.0,571.43,428.57
27- 27,295.0534,Ag,583.42,334.1,249.32
30- 30,340.037,B1g,0.46,0.26,0.2
32- 32,405.719,B2g,82.43,47.1,35.33
34- 34,455.5464,Ag,587.94,585.3,2.64
